let-ladder	official	6131634845	0.88	0	22	49.76	Accepted 22 declarations.	
let-ladder	trusted	8309294100	1.56	0	13	49.76	con-leche: accepted 13 declarations (--trusted)	
let-ladder	verified	8309492386	1.32	0	13	49.76	con-leche: accepted 13 declarations (--verified)	
beta-ladder	official	10126365895	1.27	0	20	49.76	Accepted 20 declarations.	
beta-ladder	trusted	39430603365	5.51	0	11	49.14	con-leche: accepted 11 declarations (--trusted)	
beta-ladder	verified	39434465941	5.75	0	11	48.33	con-leche: accepted 11 declarations (--verified)	
init-prelude	official	2207122029	0.25	0	2056	49.10	Accepted 2056 declarations.	
init-prelude	trusted	4410631414	0.49	0	1803	49.10	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 1803 de	
init-prelude	verified	4552388119	0.52	0	1803	49.10	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 1803 de	
grind-ring-5	official	13403216368	1.79	0	2429	49.10	Accepted 2429 declarations.	
grind-ring-5	trusted	25288395492	3.29	0	2211	48.21	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 2211 de	
grind-ring-5	verified	26107284955	3.23	0	2211	48.21	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 2211 de	
app-lam	official	29399629312	3.32	0	34	46.20	Accepted 34 declarations.	
app-lam	trusted	158008114341	32.23	0	21	45.78	con-leche: accepted 21 declarations (--trusted)	
app-lam	verified	158011635646	32.35	0	21	53.68	con-leche: accepted 21 declarations (--verified)	
init-full	official	403455104511	47.43	0	54472	54.89	Accepted 54472 declarations.	
init-full	trusted	654112667041	102.74	0	53118	27.99	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 53118 d	
init-full	verified	673168778871	76.09	0	53118	61.65	con-leche: 1 inductive blocks modelled in-process: Lean.Syntax con-leche: accepted 53118 d	
mathlib-full	official	10535074703731	1880.78	0	670627	17.71	Accepted 670627 declarations.	9615988
mathlib-full	trusted	3154932382546	271.81	2		2.89	NONE	9022124
mathlib-full	verified	3189384092763	286.62	2		2.28	NONE	9023724
